Area,AP Ratio,District,Season,crop_name,Production,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity
177321,0.851027233,Bagerhat,Kharif 2,Aman,150905,40,12.0,60,85
25646,1.175777899,Bandarban,Kharif 2,Aman,30154,40,12.0,60,85
231401,0.770588718,Barguna,Kharif 2,Aman,178315,40,12.0,60,85
302665,0.757104389,Barishal,Kharif 2,Aman,229149,40,12.0,60,85
388575,1.100652384,Bhola,Kharif 2,Aman,427686,40,12.0,60,85
443007,1.192475514,Bogura,Kharif 2,Aman,528275,40,12.0,60,85
174588,1.014634454,Brahmanbaria,Kharif 2,Aman,177143,40,12.0,60,85
90004,0.780443091,Chandpur,Kharif 2,Aman,70243,40,12.0,60,85
140665,1.127252693,Chapai Nawabganj,Kharif 2,Aman,158565,40,12.0,60,85
444857,0.977999672,Chattogram,Kharif 2,Aman,435070,40,12.0,60,85
85718,1.096677477,Chuadanga,Kharif 2,Aman,94005,40,12.0,60,85
181306,1.110415541,CoxsBazar,Kharif 2,Aman,201325,40,12.0,60,85
327517,0.909647438,Cumilla,Kharif 2,Aman,297925,40,12.0,60,85
18702,0.965244359,Dhaka,Kharif 2,Aman,18052,40,12.0,60,85
645472,1.078918993,Dinajpur,Kharif 2,Aman,696412,40,12.0,60,85
191856,1.040175965,Faridpur,Kharif 2,Aman,199564,40,12.0,60,85
163129,1.202152897,Feni,Kharif 2,Aman,196106,40,12.0,60,85
293991,1.126656938,Gaibandha,Kharif 2,Aman,331227,40,12.0,60,85
112432,1.185907927,Gazipur,Kharif 2,Aman,133334,40,12.0,60,85
59993,0.751937726,Gopalganj,Kharif 2,Aman,45111,40,12.0,60,85
245464,1.064665287,Habiganj,Kharif 2,Aman,261337,40,12.0,60,85
265787,0.953500359,Jamalpur,Kharif 2,Aman,253428,40,12.0,60,85
338887,1.14695459,Jashore,Kharif 2,Aman,388688,40,12.0,60,85
116665,0.794479921,Jhallokati,Kharif 2,Aman,92688,40,12.0,60,85
252930,1.369529119,Jhenaidah,Kharif 2,Aman,346395,40,12.0,60,85
170726,1.137928611,Joypurhat,Kharif 2,Aman,194274,40,12.0,60,85
66694,1.304375206,Khagrachari,Kharif 2,Aman,86994,40,12.0,60,85
237461,1.120950388,Khulna,Kharif 2,Aman,266182,40,12.0,60,85
186328,1.158322957,Kishoreganj,Kharif 2,Aman,215828,40,12.0,60,85
283509,1.102067307,Kurigram,Kharif 2,Aman,312446,40,12.0,60,85
225972,1.200374383,Kushtia,Kharif 2,Aman,271251,40,12.0,60,85
185213,1.053263,Lakshmipur,Kharif 2,Aman,195078,40,12.0,60,85
189950,1.141163464,Lalmonirhat,Kharif 2,Aman,216764,40,12.0,60,85
40746,0.830314632,Madaripur,Kharif 2,Aman,33832,40,12.0,60,85
143430,1.062643798,Magura,Kharif 2,Aman,152415,40,12.0,60,85
19457,0.9198232,Manikganj,Kharif 2,Aman,17897,40,12.0,60,85
82524,1.279203626,Meherpur,Kharif 2,Aman,105565,40,12.0,60,85
251081,1.180622986,Moulvibazar,Kharif 2,Aman,296432,40,12.0,60,85
41822,0.393405385,Munshiganj,Kharif 2,Aman,16453,40,12.0,60,85
663734,0.97115712,Mymensingh,Kharif 2,Aman,644590,40,12.0,60,85
468054,1.082366565,Naogaon,Kharif 2,Aman,506606,40,12.0,60,85
85229,1.068098887,Narail,Kharif 2,Aman,91033,40,12.0,60,85
19756,0.54823851,Narayanganj,Kharif 2,Aman,10831,40,12.0,60,85
97752,1.039313774,Narsingdi,Kharif 2,Aman,101595,40,12.0,60,85
182696,1.119438849,Natore,Kharif 2,Aman,204517,40,12.0,60,85
301949,1.091058424,Netrokona,Kharif 2,Aman,329444,40,12.0,60,85
279580,1.103355033,Nilphamari,Kharif 2,Aman,308476,40,12.0,60,85
382971,1.033623956,Noakhali,Kharif 2,Aman,395848,40,12.0,60,85
221929,0.866871837,Pabna,Kharif 2,Aman,192384,40,12.0,60,85
246162,1.246549021,Panchagar,Kharif 2,Aman,306853,40,12.0,60,85
431833,0.749345233,Patuakhali,Kharif 2,Aman,323592,40,12.0,60,85
155038,0.64492576,Pirojpur,Kharif 2,Aman,99988,40,12.0,60,85
117377,0.913696891,Rajbari,Kharif 2,Aman,107247,40,12.0,60,85
182555,1.273851716,Rajshahi,Kharif 2,Aman,232548,40,12.0,60,85
23990,1.199041267,Rangamati,Kharif 2,Aman,28765,40,12.0,60,85
405055,1.092310921,Rangpur,Kharif 2,Aman,442446,40,12.0,60,85
207744,1.108450786,Satkhira,Kharif 2,Aman,230274,40,12.0,60,85
32898,0.701501611,Shariatpur,Kharif 2,Aman,23078,40,12.0,60,85
202388,0.952768939,Sherpur,Kharif 2,Aman,192829,40,12.0,60,85
200166,1.104498266,Sirajganj,Kharif 2,Aman,221083,40,12.0,60,85
198587,1.044851879,Sunamganj,Kharif 2,Aman,207494,40,12.0,60,85
336140,1.05969834,Sylhet,Kharif 2,Aman,356207,40,12.0,60,85
249183,0.833411589,Tangail,Kharif 2,Aman,207672,40,12.0,60,85
322836,1.083695746,Thakurgaon,Kharif 2,Aman,349856,40,12.0,60,85
167,6.700598802,Bagerhat,Kharif 1,Amra,1119,30,20.0,60,80
128,1.3046875,Bandarban,Kharif 1,Amra,167,30,20.0,60,80
1597,0.919849718,Barguna,Kharif 1,Amra,1469,30,20.0,60,80
1351,4.071058475,Barishal,Kharif 1,Amra,5500,30,20.0,60,80
148,5.155405405,Bhola,Kharif 1,Amra,763,30,20.0,60,80
