response,label,urdu,punjabi,sindhi
"Based on your soil and climate conditions, lentil would be a good crop to grow. Your soil nutrients and weather parameters are within the range suitable for lentil.",lentil,آپ کی مٹی اور آب و ہوا کی حالت کے مطابق، مسور ایک اچھا فصل ہے جسے آپ اگا سکتے ہیں۔ آپ کی مٹی کے غذائی اجزاء اور موسم کے حدود مسور کے لیے موزون ہیں۔,"Tuhade mitti ate mosam de halat de aadhaar te, daal masar ugaunde bohot changi khet hai. Tuhade mitti de poshak tatt ate mosam de soochak masar layi theek weitem hai.",توهانجي زمين ۽ آبهوا جي حالتن جي بنياد تي، مسور هڪ سٺو فصل ٿيندو. توهانجي زمين جا غذائي اجزاء ۽ موسمي پيراگراف مسور لاءِ مناسب حدن ۾ آهن۔
Your farmland conditions suggest that grapes may not be the best choice due to the high temperature and low nitrogen levels. Consider growing a crop that can tolerate high temperatures and lower nitrogen.,grapes,آپ کے زرعی زمین کی حالت بتاتی ہے کہ انگور کاشت کرنا بہترین انتخاب نہیں ہے کیونکہ وہاں کا درجہ حرارت زیادہ ہے اور نائٹروجن کی سطح کم ہے۔ اس کے بجائے، ایسی فصل اگانے پر غور کریں جو زیادہ درجہ حرارت اور کم نائٹروجن کو برداشت کر سکے۔,"Tuhadi khet di halat dasdi hai ke angoor uggane layi changi nahi hai, kyunki temperature bohot zyada hai te nitrogen di padar wich kami hai. Tusi eh jeha fasal ugand da soch sakde ho jo uchie temperature te ghat nitrogen nu seh sakdi hai.",توهانجي زمين جون حالتون ظاهر ڪن ٿيون ته انگور وڏين گرمي پد ۽ گهٽ نائٽروجن جي سطح سبب بهتر انتخاب نه ٿي سگهن. ڪنهن اهڙي فصل جي پوکي ڪرڻ تي غور ڪيو جيڪا وڏين گرمي پد ۽ گهٽ نائٽروجن کي برداشت ڪري سگهي.
"Based on the given data and past experiences, chickpea would be suitable for your farmland.",chickpea,"دیے گئے ڈیٹا اور ماضی کے تجربات کی بنیاد پر، چنا آپ کی زمین کے لیے موزوں ہوگا۔
","Ditte hoye data te guzriya tajurbe de aadhaar te, chhole thode kisaani zameen layi suitable honge.",ڏنل ڄاڻ ۽ اڳوڻن تجربن جي بنياد تي، چڻي جي پوک توهان جي زمين لاءِ مناسب هوندي۔
"Based on your farmland conditions, mungbean would be a suitable crop to grow. The conditions match well with the levels of nutrients, temperature, humidity, pH, and rainfall needed for mungbean.",mungbean,آپ کے زرعی حالات کی بنیاد پر، مونگ کی فصل اگانا موزوں ہوگا۔ یہ حالات مونگ کی ضروری غذائی اجزاء، درجہ حرارت، نمی، پی ایچ، اور بارش کی سطحوں سے مطابقت رکھتے ہیں۔,"Tuhade khet de halat de adhar te, mungbean ik theek fasal ho sakdi hai. Eh halat mungbean nu lorh pati poshak tatav, tapman, nami, pH, te barish de sadaran naal vadhia mel khande ne.",توهان جي زمين جي حالتن کي ڏسندي، مونگ ڦلي هڪ مناسب فصل ٿي سگهي ٿو ڪڻ لاء. اهي حالتون غذائي مواد، گرمي پد، نمي، پي ايڇ ۽ مينهن جي سطح سان چڱي طرح ميل ٿين ٿيون جن جي مونگ ڦلي کي ضرورت هوندي آهي.
"Based on your farm's current condition, it's not ideal for blackgram. You might consider soil testing for other crops more suited to your nutrient levels and environmental conditions.",blackgram,آپ کے کھیت کی موجودہ حالت کے پیش نظر، یہ کالی ماش کے لیے مناسب نہیں ہے۔ آپ دیگر فصلوں کے لئے مٹی کا ٹیسٹ کروانے پر غور کر سکتے ہیں جو آپ کی غذائی اجزاء کی سطح اور ماحولیاتی حالات کے لئے زیادہ موزوں ہوں۔,"Tuhadde farm di maujooda haleet de adhaar te, eh blackgram lai theek nahi aa. Tusi mitti di jaanch karwa sakde ho hor faslan lai jo tuhade nutrients di satah te vaatawarni haleetan naal mel khaundiyan.",توهان جي فارم جي هاڻوڪي حالت جي بنياد تي، سائي ڀاڄيءَ لاءِ موزون ناهي. توهان کي پنهنجي مٽيء جو جاچ ڪري ٻين فصلن لاءِ غور ڪرڻ گهرجي جيڪي توهان جي غذائي سطح ۽ ماحولياتي حالتن سان وڌيڪ موزون هجن.
You should consider growing pigeonpeas. The conditions on your farmland closely match the conditions where pigeonpeas have been grown successfully in the past.,pigeonpeas,آپ کو کبوتر مٹر اگانے پر غور کرنا چاہیے۔ آپ کی زرعی زمین کی حالات ان حالات سے کافی مماثلت رکھتی ہیں جہاں پہلے کامیابی سے کبوتر مٹر اگائے گئے تھے۔,Tuhanu pigeonpeas ugaun bare sochna chaida hai. Tuhadi zameen di halat otheyan waliyan halatan naal kafi mil di hai jithe pigeonpeas pichle samay vich kamiyabi naal ugayi gayi han.,توهان کي ڪبوتر مٽر پوکڻ تي غور ڪرڻ گهرجي. توهان جي زمين تي حالتون انهن حالتن سان تمام ويجهو آهن جتي ڪبوتر مٽر اڳ ۾ ڪاميابي سان پوکيا ويا آهن.
"Based on the previous records and similar conditions, blackgram would be a suitable crop for your farmland.",blackgram,پچھلے ریکارڈز اور مشابہ حالات کے مطابق، ماش کی دال آپ کی زمین کے لیے موزوں فصل ہو سکتی ہے۔,"Pichhle record ate milde-julde haleat de aadhar te, kali mash di khetti tuhade khet lei uchit ho sakdi hai.",پويان رڪارڊن ۽ مشابه حالتن کي نظر ۾ رکندي، ڪاري لوبي توهان جي زمين لاءِ هڪ مناسب فصل لڳي ٿو.
"Based on the provided data, blackgram would be a suitable crop to grow on your farmland. The conditions match well with successful instances of blackgram growth in the past.",blackgram,فراہم کردہ معلومات کی بنیاد پر، کالے چنے (ماش) کی کاشت آپ کے کھیت میں موزوں ہوگی۔ یہ حالات ماضی میں کالے چنے کی کامیاب پیداوار کے ساتھ اچھی طرح مطابقت رکھتے ہیں۔,"Ditte gane hoye data de adhaar te, kale mash di kheti karna tuhade khet layi theek ho sakdi hai. Ehde lehi saariyan circumstances pasle di safalta de naal changi tarah mel kardi hain.",فراهم ڪيل ڊيٽا جي بنياد تي، يوريا مونگ فصل توهان جي زمين تي پوکڻ لاءِ مناسب هوندي. حالتون ماضي ۾ ڪامياب طور تي يوريا مونگ پوک جي مثالن سان چڱيءَ ريت ملي ٿيون.
"Based on the data, it would be best to grow pigeonpeas on your farmland.",pigeonpeas,اعداد و شمار کے مطابق، آپ کی زمین پر کبلی چنے اگانا بہترین رہے گا۔,"Data de adhar te, tuhade khetan vich tur (pigeonpeas) ugana vadhiya hovega.",ڊيٽا جي بنياد تي، اهو بهتر ٿيندو ته توهان پنهنجي زمين تي مڱ الفصل پوکيو۔
"Based on your current soil and weather conditions, it would be suitable to grow blackgram. The conditions closely match the successful growing conditions from the past experience.",blackgram,آپ کی موجودہ مٹی اور موسمی حالات کی بنیاد پر، ماش (کالے چنے) اگانا مناسب ہوگا۔ یہ حالات ماضی کے کامیاب اگانے کے تجربات سے قریب تر ہیں۔,"Tuhade maujuda mitti ate mausam di haalat de adhar te, kaala channa ugaunda changa idea hovega. Eh haalat pehla di safal farming waale haalat naal mil diya ne.",توھانجي موجوده مٽي ۽ موسم جي حالتن جي بنياد تي، ڪاري من جي پوکڻ مناسب ھوندي. حالتون گذريل تجربي مان ڪامياب پوکڻ جي حالتن سان ويجھڙائي رکن ٿيون.
