nitrogen,phosphorus,potassium,temperature,humidity,pH,rainfall,response,label,y_pred
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,"You have suitable conditions for growing crops like maize, soybeans, or wheat. These crops thrive well with the given soil nutrients, pH, and climate conditions.",rice,0
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,"Consider growing leafy vegetables like spinach or lettuce, as they thrive well in your soil and climate conditions.",rice,0
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,Try growing asparagus; it prefers slightly alkaline soil conditions like your pH level and does well with moderate temperatures and good humidity.,rice,0
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,"You can grow rice, as the conditions of your farmland seem suitable for it.",rice,1
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,"Considering the soil and weather conditions, you might consider growing crops like maize or wheat. These crops generally do well in such conditions.",rice,0
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,"Based on your soil and weather conditions, rice would be a good crop to grow. It thrives well with your nitrogen, humidity, pH, and rainfall levels.",rice,1
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,"You could consider growing rice because it thrives in your farmland's conditions of high humidity, significant rainfall, and slightly acidic soil.",rice,1
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,"Consider growing rice. Your pH level, temperature, and high rainfall are suitable for it.",rice,1
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,"Considering your soil and weather conditions, rice would be a good crop to grow on your farmland.",rice,1
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,"Given your farmland's conditions, rice would be a good choice. The high humidity, adequate rainfall, and slightly acidic pH are suitable for rice cultivation.",rice,1
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,"You can consider growing rice, as it thrives well in conditions similar to yours. The high humidity, ample rainfall, and pH level are suitable for rice cultivation.",rice,1
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,"Based on the given soil and climate conditions, consider growing wheat, barley, or tomatoes. These crops generally thrive under these conditions.",rice,0
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,"Given the soil acidity (pH 5.11) and high rainfall, tea or cassava could be good options for your farmland. They thrive in acidic soils and high humidity.",rice,0
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,"Considering your soil data and environmental conditions, rice would be a good choice for your farmland.",rice,1
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,"Considering the soil nutrients, climate, and pH, rice would be a good crop to grow on your farmland.",rice,1
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,Consider growing rice or sugarcane. Both crops thrive well in your current soil and climate conditions.,rice,1
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,"Consider growing leafy vegetables or root crops like carrots, as they thrive well in the given soil and climate conditions.",rice,0
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,"Your soil and climate conditions are suitable for growing rice. It thrives in high humidity, warm temperatures, and substantial rainfall.",rice,1
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,Consider growing rice or bananas. Both thrive in high humidity and significant rainfall.,rice,1
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,"Based on your soil's nutrients, climate, and pH level, you might consider growing rice or sweet potatoes. These crops can thrive well in your given conditions.",rice,1
90,42,43,100.0,82.00274423,6.502985292,202.9355362,It is too hot for most crops. Consider cooling solutions or growing heat-tolerant plants like cactus varieties or certain herbs.,rice,0
